,Date,Location,Flight,Fatalities,Year,Month,Day,Casualties,Aboard,% Casualty,Decade
1279,1952-03-24,Near Gao- French West AfricaSociété Aérienne de Tr. Tropicaux,Lockheed 18 LodestarF-ARTE,17/21(0),1952,3,24,17,21,80.95238095238095,1950
1280,1952-03-26,Moscow- RussiaAeroflot,??,70/70(0),1952,3,26,70,70,100.0,1950
1281,1952-03-29,Near San Felipe- VenezuelaTACA,Douglas DC-3YV-C-AZU,12/12(0),1952,3,29,12,12,100.0,1950
1282,1952-03-30,Baguio- PhilippinesPhilippine Air Lines,Douglas DC-3PI-C270,10/29(0),1952,3,30,10,29,34.48275862068966,1950
1283,1952-04-05,New York- New YorkUS Airlines,Curtiss C-46F-1-CUN1911M,2/2(3),1952,4,5,2,2,100.0,1950
1284,1952-04-09,Mihara Volcano- JapanJapan Air Lines,Martin 202N93043,37/37(0),1952,4,9,37,37,100.0,1950
1285,1952-04-10,Agartala- IndiaKalinga Airlines,Douglas C-47AVT-DFN,4/4(0),1952,4,10,4,4,100.0,1950
1286,1952-04-11,North of San Juan- Puerto RicoPan American World Airways,Douglas DC-4N88899,52/69(0),1952,4,11,52,69,75.36231884057972,1950
1287,1952-04-18,Near Whittier- CaliforniaNorth Continental Airlines (Robin Airlines),Curtiss C-46F-1CUN8404C,29/29(0),1952,4,18,29,29,100.0,1950
1288,1952-04-29,Near Carolina- BrazilPan American World Airways,Boeing 377-10-26 StratocruiserN1039V,50/50(0),1952,4,29,50,50,100.0,1950
1289,1952-04-30,Delhi-  IndiaDeccan Airways,Douglas DC-3VT-AUN,9/9(0),1952,4,30,9,9,100.0,1950
1290,1952-05-05,Near Skien- NorwayFred Olsen Flyveselskap,Douglas C-47ALN-NAD,11/29(0),1952,5,5,11,29,37.93103448275862,1950
1291,1952-05-09,Ipoh- MalaysiaGaruda Indonesia Airlines,Douglas DC-3PK-DPA,17/17(0),1952,5,9,17,17,100.0,1950
1292,1952-05-13,Sao Paulo- BrazilVASP,Douglas DC-3PP-SPM,5/22(0),1952,5,13,5,22,22.727272727272727,1950
1293,1952-05-24,Near Manaus- BrazilLoide Aéreo Nacional,Curtiss C-46APP-LDE,6/6(0),1952,5,24,6,6,100.0,1950
1294,1952-05-26,Near Atar- MauritaniaBritish Overseas Airways,Handley Page HP-81 Hermes IVG-ALDN,1/18(0),1952,5,26,1,18,5.555555555555555,1950
1295,1952-06-13,Baltic SeaSwedish Air Force,Douglas DC-379001,8/8(0),1952,6,13,8,8,100.0,1950
1296,1952-06-14,Near Brighton- East Sussex- EnglandMorton Air Services,Airspeed AS-65 ConsulG-AHFT,6/8(?),1952,6,14,6,8,75.0,1950
1297,1952-06-24,Lakenheath AFB- EnglandMilitary - U.S. Air Force,Boeing B-50 Superfortress?,11/11(0),1952,6,24,11,11,100.0,1950
1298,1952-06-25,Off Northumberland- North SeaMilitary - Royal Air Force,Avro Shackleton MR-1VP261,11/13(0),1952,6,25,11,13,84.61538461538461,1950
1299,1952-07-18,Whiting Field- near Milton- FloridaMilitary - Navy,Fairchild packet (C119 flying boxcar)?,41/46(0),1952,7,18,41,46,89.13043478260869,1950
1300,1952-07-27,Off Rio de Janeiro- BrazilPan American World Airways,Boeing 377 StratocruiserN1030V,1/27(0),1952,7,27,1,27,3.7037037037037033,1950
1301,1952-08-12,Palmeira de Goias- BrazilTransportes Areos Nacionales,Douglas DC-3PP-ANH,24/24(0),1952,8,12,24,24,100.0,1950
1302,1952-08-21,Off Trapani- ItalyAirwork,Handley Page HP-81 Hermes 4AG-ALDF,7/57(0),1952,8,21,7,57,12.280701754385964,1950
1303,1952-08-26,Near Khewra- West PakistanMilitary - Pakistan Air Force,Bristol 170 FreighterG783,18/18(0),1952,8,26,18,18,100.0,1950
1304,1952-08-29,Kosti- SudanPhoenix Airlines,Douglas DC-2-115BZS-DFW,2/4(0),1952,8,29,2,4,50.0,1950
1305,1952-09-06,Near Farnsborough- EnglandPrivate - de Havilland Aircraft,de Havilland 110WG235,1/1(29),1952,9,6,1,1,100.0,1950
1306,1952-09-10,San Blas- PanamaSAM Colombia,Curtiss C-46?,46/46(0),1952,9,10,46,46,100.0,1950
1307,1952-09-15,Wadi Halfa- SudanKalinga Airlines,Douglas C-47AVT-CGB,3/3(0),1952,9,15,3,3,100.0,1950
1308,1952-10-05,Skvoritsy- RussiaAeroflot,Ilyushin IL-12L1328,21/21(0),1952,10,5,21,21,100.0,1950
1309,1952-10-08,Off Tarbat Ness- ScotlandMilitary - Royal Air Force,Avro Shackleton MR-1VP286,14/14(0),1952,10,8,14,14,100.0,1950
1310,1952-10-14,San Fransisco do Paula- BrazilAero Brasil,Douglas DC-3PP-AXJ,14/28(0),1952,10,14,14,28,50.0,1950
1311,1952-10-16,Off Kangnung- South KoreaMilitary - U.S. Air Force,Curtiss-Wright C-46D-CU44-77538,25/25(0),1952,10,16,25,25,100.0,1950
1312,1952-10-29,Near Flagstaff- ArizonaMilitary - U.S. Air Force,Boeing KC-97G Stratofreighter52-2711,16/16(0),1952,10,29,16,16,100.0,1950
1313,1952-11-06,Lake Chad- ChadUnion Aeromaritime de Transport,Douglas C-54B-1-DCF-BFVO,5/6(0),1952,11,6,5,6,83.33333333333334,1950
1314,1952-11-07,Near Summit- AlaskaMilitary - U.S. Air Force,Fairchild C-119C51-2560A,19/19(0),1952,11,7,19,19,100.0,1950
1315,1952-11-14,Near Seoul- South KoreaMilitary - U.S. Air Force,Fairchild C-119C51-2551A,44/44(0),1952,11,14,44,44,100.0,1950
1316,1952-11-15,Near Anchorage- AlaskaMilitary - U.S. Air Force,Fairchild C-119C51-2570,20/20(0),1952,11,15,20,20,100.0,1950
1317,1952-11-17,Shepard- MontanaMilitary - U.S. Air Force,Fairchild C-119C-23-FA Flying Boxcar?,9/16(0),1952,11,17,9,16,56.25,1950
1318,1952-11-22,Mount Gannett- AlaskaMilitary - U.S. Air Force,Douglas C-124A Globemaster51-107A,52/52(0),1952,11,22,52,52,100.0,1950
1319,1952-11-28,Near Tacoma- WashingtonMilitary - U.S. Air Force,Douglas C-54G (DC-4)?,37/38(0),1952,11,28,37,38,97.36842105263158,1950
1320,1952-12-06,Near Sofia- BugariaTABSO,Lisunov Li-2?,18/18(0),1952,12,6,18,18,100.0,1950
1321,1952-12-06,Off Bermuda-Kindley Field- BermudaCubana de Aviacion,Douglas DC-4CU-T397,37/41(0),1952,12,6,37,41,90.2439024390244,1950
1322,1952-12-20,Moses Lake- WashingtonMilitary - U.S. Air Force,Douglas C-124A Globemaster50-100,87/115(0),1952,12,20,87,115,75.65217391304347,1950
1323,1952-12-21,Off Miami- FloridaRutas Aéreas Nacionales SA,Curtiss C-46DYV-C-ARC,3/3(0),1952,12,21,3,3,100.0,1950
1324,1952-12-22,Damascus- SyriaSyrian Air,Douglas DC-3?,9/?(?),1952,12,22,9,NaN,,1950
1325,1952-12-25,Off Caracas- VenezuelaAvensa,Douglas DC-3YV-C-AVX,3/5(0),1952,12,25,3,5,60.0,1950
1326,1952-12-25,Tehran- IranIran Air,Douglas DC-3EP-ACJ,27/29(0),1952,12,25,27,29,93.10344827586206,1950
1327,1952-12-30,Chinmen Island- TaiwanPhilippine Air Lines,Douglas DC-3PI-C38,2/10(0),1952,12,30,2,10,20.0,1950
1328,1953-01-05,Belfast- Northern IrelandBritish European Airways,Vickers Viking 610-1BG-AJDL,27/35(0),1953,1,5,27,35,77.14285714285715,1950
1329,1953-01-07,Issaquah- WashingtonFlying Tiger Line,Douglas C-54B-10-DON86574,7/7(0),1953,1,7,7,7,100.0,1950
1330,1953-01-07,Fish Haven- IdahoAssociated Air Transport,Curtiss C-46N1648M,40/40(0),1953,1,7,40,40,100.0,1950
1331,1953-01-15,25 nm off Agrigento- ItalyMilitary -Royal Air Force,Vickers Valetta Mk1 / Avero LancasterVX562 / TX270,26/26(0),1953,1,15,26,26,100.0,1950
1332,1953-01-26,Sinnai- Sardinia- ItalyLinee Aeree Italiane,Douglas DC-3I-LAIL,19/19(0),1953,1,26,19,19,100.0,1950
1333,1953-02-02,Off Newfoundland- CanadaLancashire Aircraft Corporation (Skyways),Avro 685 York 1G-AHFA,39/39(0),1953,2,2,39,39,100.0,1950
1334,1953-02-03,Lai Chau- VietnamAir Outremer,Douglas C-47B-15-DKF-OAFR,18/18(0),1953,2,3,18,18,100.0,1950
1335,1953-02-07,Bordeaux- FranceUTA,Douglas C-54A-5-DCF-BFGR,7/21(0),1953,2,7,7,21,33.33333333333333,1950
1336,1953-02-09,Cairo- EgyptMilitary - Egyptian Air Force,Curtiss-Wright C-461001,30/35(0),1953,2,9,30,35,85.71428571428571,1950
1337,1953-02-14,Off Mobile- AlabamaNational Airlines,Douglas DC-6N90893,46/46(0),1953,2,14,46,46,100.0,1950
1338,1953-03-03,Karachi- PakistanCanadian Pacific Air Lines,de Havilland DH106 Comet 1ACF-CUN,11/11(0),1953,3,3,11,11,100.0,1950
1339,1953-03-04,Windsor Locks- ConnecticutSlick Airways,Curtiss C-46FN4717N,2/2(0),1953,3,4,2,2,100.0,1950
1340,1953-03-14,Kalasahar- IndiaOrient Airways,Convair CV-240-7AP-AEG,16/16(0),1953,3,14,16,16,100.0,1950
1341,1953-03-17,Off Da Nang- VietnamAigle Azur,Douglas DC-3F-BEFG,8/8(0),1953,3,17,8,8,100.0,1950
1342,1953-03-18,Random Island- NewfoundlandMilitary - U.S. Air Force,Convair RB-36H51-13721A,23/23(0),1953,3,18,23,23,100.0,1950
1343,1953-03-20,Alvarado- CaliforniaTransocean Air Lines,Douglas DC-4  (C-54-10-DO)N88942,35/35(0),1953,3,20,35,35,100.0,1950
1344,1953-03-27,Itapebi- BrazilTransportes Aéreos Salvador,de Havilland DH-114 Heron 1BPP-SLG,14/14(0),1953,3,27,14,14,100.0,1950
1345,1953-03-29,Mtara- TanganyikaCentral African Airways,Vickers 616 Viking 1BVP-YEY,13/13(0),1953,3,29,13,13,100.0,1950
1346,1953-04-10,Near Anchieta Island- BrazilREAL,Doublas Dc-3?,26/?(?),1953,4,10,26,NaN,,1950
1347,1953-04-10,Off Kingston- JamaicaCaribbean International Airways,Lockheed 18-56 LodeStarVP-JBC,13/13(0),1953,4,10,13,13,100.0,1950
1348,1953-04-10,Miandivazo- MadagascarAir France,Junkers JU-5/-3mF-BALE,5/5(0),1953,4,10,5,5,100.0,1950
1349,1953-04-14,Selleck- WashingtonMiami Airlines,Douglas DC-3 (C-47-DL)N65743,7/25(0),1953,4,14,7,25,28.000000000000004,1950
1350,1953-04-14,Near Guwahati- IndiaAirways,Douglas C-47AVT-AUJ,3/3(0),1953,4,14,3,3,100.0,1950
1351,1953-04-16,NW of Hanoi- VietnamAigle Azur,Douglas DC-3F-BESS,30/30(0),1953,4,16,30,30,100.0,1950
1352,1953-04-20,San Francisco Bay- CaliforniaWestern Airlines,Douglas DC-6BN91303,8/10(0),1953,4,20,8,10,80.0,1950
1353,1953-05-02,Near Jalalogori- West Bengal- IndiaBritish Overseas Airways,de Havilland DH106 Comet 1G-ALYV,43/43(0),1953,5,2,43,43,100.0,1950
1354,1953-05-07,Off Hartland Point- EnglandMilitary - Royal Air Force,Vickers Valetta T-3WG258,10/10(0),1953,5,7,10,10,100.0,1950
1355,1953-05-09,New Delhi- IndiaAir India,Douglas DC-3VT-AUD,18/18(0),1953,5,9,18,18,100.0,1950
1356,1953-05-11,Prince Rupert- BC- CanadaCanadian Pacific Air Lines,Consolidated PBY-5A CatalinaCF-CRV,2/19(0),1953,5,11,2,19,10.526315789473683,1950
1357,1953-05-17,Near Marshall- TexasDelta Air Lines,Douglas DC-3N28345,19/20(0),1953,5,17,19,20,95.0,1950
